Player,Team,Salary
"Clemens, Roger",New York Yankees,10100000
"Giambi, Jason",New York Yankees,11428571
"Jeter, Derek",New York Yankees,15600000
"Mondesi, Raul",New York Yankees,13000000
"Mussina, Mike",New York Yankees,12000000
"Pettitte, Andy",New York Yankees,11500000
"Rivera, Mariano",New York Yankees,10500000
"Williams, Bernie",New York Yankees,12357143
"Appier, Kevin",Anaheim Angels,11500000
"Garciaparra, Nomar",Boston Red Sox,11000000
"Martinez, Pedro",Boston Red Sox,15500000
"Ramirez, Manny",Boston Red Sox,20000000
"Delgado, Carlos",Toronto Blue Jays ,18700000
"Belle, Albert",Baltimore Orioles,13000000
"Sweeney, Mike",Kansas City Royals,11000000
"Higginson, Bobby",Detroit Tigers,11850000
"Dye, Jermaine",Oakland Athletics,11666667
"Gonzalez, Juan",Texas Rangers,13000000
"Park, Chan Ho",Texas Rangers,13000000
"Rodriguez, Alex",Texas Rangers,22000000
